0.47476,0.44749,0
0.48,0.43746,0
0.67274,0.79716,1
0.65629,0.79238,1
0.71,0.85449,0
0.61009,0.68486,0
0.70583,0.85717,0
0.70217,0.85359,0
0.55877,0.61193,0
0.79086,0.99612,1
0.6852,0.83013,1
0.83,1.05432,1
0.68,0.82162,1
0.83649,1.05841,1
0.83291,1.05309,0
0.6035,0.6999,0
0.76443,0.94293,0
0.80904,0.99277,1
0.88,1.0423,1
0.95183,1.02296,1
0.95287,1.01568,0
0.96,0.94981,1
0.86,0.92663,1
0.92,0.91075,0
0.955,0.89068,1
0.98846,0.90597,0
0.93038,0.86342,0
0.82073,0.80178,0
0.88826,0.86561,1
0.87,0.87783,1
0.86784,0.87936,0
0.78,0.79209,1
0.85496,0.88799,1
0.85213,0.90092,1
0.77111,0.791,1
0.77348,0.79649,1
0.86,0.97334,1
0.80712,0.86382,1
0.88,0.999,1
0.88,1.01716,1
0.77,0.78988,0
0.74609,0.81569,1
0.47303,0.48315,0
0.53449,0.57126,0
0.53,0.57113,0
0.85236,0.90651,0
0.8201,0.85298,0
0.72,0.78786,0
0.47,0.45679,0
0.47,0.44256,1
0.47,0.44831,1
0.47,0.44381,1
0.474,0.42715,0
0.51,0.50659,0
0.51,0.50005,0
0.53,0.54903,1
0.52575,0.52371,0
0.53933,0.56442,0
0.54134,0.57504,0
0.58,0.65728,0
0.52239,0.50839,0
0.52805,0.51656,0
0.53,0.52757,0
0.695,0.84305,0
0.73722,0.92055,1
0.71993,0.88161,1
0.72148,0.89336,0
0.61486,0.68322,0
0.67056,0.81422,1
0.77925,0.9883,0
0.77639,0.98321,1
0.79026,0.99544,1
0.80701,1.01923,1
0.81,1.02234,1
0.78021,0.99077,1
0.62964,0.71354,0
0.81,1.02156,1
0.72652,0.88913,1
0.55945,0.61129,0
0.60991,0.68384,1
0.63972,0.74527,0
0.69,0.84162,0
0.69,0.84347,0
0.69124,0.8523,0
0.69994,0.8556,1
0.70006,0.86005,1
0.70551,0.8711,1
0.7001,0.85243,1
0.70387,0.86769,0
0.81825,1.03423,1
0.66,0.77633,1
0.66038,0.78068,1
0.82,1.03518,1
0.79,0.99273,1
0.79527,0.99485,1
0.75,0.9319,1
0.68063,0.81854,1
0.69766,0.84277,1
0.70134,0.84627,1
0.86019,1.07797,1
0.85816,1.07633,1
0.83028,1.05117,0
0.83,1.04801,1
0.60869,0.70216,0
0.6423,0.75337,1
0.83249,1.04261,0
0.82952,1.03479,1
0.76584,0.94232,0
0.82,1.01746,1
0.88929,1.0933,0
0.86008,1.05036,0
0.83,0.99645,0
0.83882,1.01894,0
0.83815,1.01597,0
0.84,1.01635,0
0.83833,1.01338,1
0.83853,1.01027,1
0.83738,1.00369,1
0.82068,0.98953,1
0.92645,1.04115,1
0.8894,1.03461,0
0.9,1.03185,0
0.92358,1.019,0
0.90783,0.99829,0
0.8751,0.96027,0
0.91333,0.97989,0
0.94,0.93146,1
0.94947,0.92627,1
0.95394,0.9188,1
